,Age,Income,Emp_stat_Present,Gender,Marital_status,Loc,Notice_things_Present,All_angles_Present,Sincere_prod_Present,Lonely_Present,Worry_health_Present,Charity_Present,New_env_Present,Meeting_ppl_Present,Hob_interests_Present,Surveys_Present,Spent_onli_Present,WFH_office_Present,Ethu_Present,Income_Change,Smoking_hab_Present,Drinking_hab_Present,Sleeping_hab_Present,Healthy_Lifestyle_Present,Medi_pref_Present,Pol_interest_Present,Internet_interest_Present,Economy_Manag_intrst_Present,Medicine_intrst_Present,Religion_intrst_Present,Save_all_money_Present,Brand_non-brand_Present,Food_pref_Present,Mode_of_transport_Present,Basic_medications_Present,Digital_content_Present,Active_Investor_Present,Edu_instit_fee_Present,Change_in_data_consumption,Spend_on_gadgets_Present,Spend_on_Luxury_Present,Track_Household_exp_Present,Domestic_help_Present,Spending_kind_Present
290,4,0.0,0.0,0,1.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2.0,2.0,1,2.0,2.0,1.0,1.0,1,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
291,0,4.0,3.0,0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0,2.0,0.0,2.0,2.0,1,3.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0
292,4,1.0,1.0,1,1.0,1.0,3.0,3.0,0.0,4.0,3.0,0.0,2.0,0.0,3.0,3.0,2,1.0,0.0,0.0,2.0,2,0.0,4.0,1.0,1.0,1,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0
293,4,3.0,0.0,0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,1,2.0,2.0,0.0,3.0,2,1.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,0.0
294,4,0.0,2.0,1,1.0,1.0,3.0,3.0,3.0,4.0,0.0,3.0,0.0,3.0,3.0,2.0,1,0.0,3.0,2.0,3.0,1,2.0,2.0,0.0,1.0,1,2.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
295,0,4.0,4.0,0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,2.0,2.0,1,3.0,1.0,0.0,2.0,3,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0
296,3,1.0,0.0,1,1.0,1.0,4.0,0.0,3.0,0.0,3.0,3.0,3.0,2.0,0.0,3.0,2,2.0,3.0,2.0,1.0,2,2.0,4.0,0.0,1.0,3,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0
297,0,2.0,0.0,0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0,0.0,0.0,2.0,2.0,1,2.0,1.0,1.0,1.0,0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0
298,0,4.0,3.0,1,0.0,2.0,2.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,2.0,1.0,2,1.0,3.0,2.0,2.0,2,3.0,2.0,0.0,1.0,3,2.0,1.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0
299,0,2.0,2.0,1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0,0.0,0.0,0.0,2.0,1,1.0,4.0,1.0,0.0,3,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0
300,2,3.0,1.0,0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,3.0,3.0,3.0,2.0,2,2.0,3.0,0.0,2.0,1,0.0,4.0,1.0,2.0,1,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0
301,0,5.0,0.0,1,0.0,2.0,0.0,0.0,3.0,2.0,0.0,3.0,3.0,0.0,3.0,3.0,2,1.0,0.0,1.0,2.0,1,3.0,0.0,0.0,0.0,3,1.0,1.0,3.0,2.0,2.0,0.0,1.0,2.0,2.0,4.0,3.0,1.0,0.0,2.0,2.0,0.0,2.0
302,3,2.0,0.0,0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0,1.0,0.0,0.0,2.0,1,2.0,1.0,1.0,1.0,0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0
303,1,3.0,4.0,0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2,0.0,2.0,0.0,2.0,2,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0
304,0,2.0,0.0,0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,2,1.0,0.0,0.0,2.0,1,3.0,0.0,1.0,2.0,3,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0
305,0,0.0,0.0,1,1.0,2.0,3.0,3.0,0.0,4.0,1.0,4.0,3.0,3.0,0.0,0.0,0,2.0,3.0,2.0,2.0,1,3.0,4.0,0.0,3.0,3,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0
306,1,3.0,0.0,0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,2,0.0,3.0,2.0,2.0,1,2.0,1.0,0.0,2.0,3,0.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,2.0,1.0,2.0
307,0,1.0,0.0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2,0.0,0.0,2.0,2.0,1,2.0,2.0,1.0,3.0,3,3.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0
308,0,2.0,0.0,0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,2.0,1,3.0,2.0,0.0,2.0,1,1.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0
